City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,utrik,11.2278,169.8474,28.52,78,70,8.06,MH,1690149255
168,thompson,55.7435,-97.8558,21.09,43,20,4.12,CA,1690149031
169,stranraer,54.9023,-5.0273,12.53,83,37,3.98,GB,1690149256
170,cururupu,-1.8283,-44.8683,24.41,84,91,1.68,BR,1690149256
171,el calafate,-50.3408,-72.2768,-5.52,74,3,0.93,AR,1690149056
172,miles city,46.4083,-105.8406,38.54,9,0,7.72,US,1690149135
173,yaren,-0.5472,166.916,28.49,72,2,2.49,NR,1690149258
174,inari,68.906,27.0288,9.11,84,65,4.52,FI,1690149258
175,okhotsk,59.3833,143.3,19.2,60,7,1.5,RU,1690149258
176,sisimiut,66.9395,-53.6735,7.12,86,93,1.43,GL,1690149259
177,geraldton,-28.7667,114.6,8.23,61,0,7.2,AU,1690149243
178,lubang,13.8584,120.124,28.12,76,99,6.36,PH,1690149239
179,wingham,43.8879,-81.3114,25.52,72,78,2.92,CA,1690149260
180,itaituba,-4.2761,-55.9836,34.09,40,20,0.0,BR,1690149260
181,vuktyl,63.8567,57.3094,13.72,80,83,2.58,RU,1690149260
182,shumerlya,55.5005,46.4129,14.19,92,76,1.94,RU,1690149261
183,dalandzadgad,43.5708,104.425,20.65,56,0,2.01,MN,1690149261
184,fort st. john,56.2499,-120.8529,20.94,28,75,5.66,CA,1690149282
185,st. paul,44.9444,-93.0933,31.54,43,0,3.6,US,1690149078
186,nova vicosa,-17.8919,-39.3719,22.05,87,14,4.69,BR,1690149282
187,cluain meala,52.355,-7.7039,14.72,96,100,3.23,IE,1690149283
188,keelung,25.1283,121.7419,27.94,85,100,0.84,TW,1690149283
189,port elizabeth,-33.918,25.5701,12.28,76,40,8.23,ZA,1690149283
190,al jawf,29.5,38.75,31.6,17,4,3.55,SA,1690149283
191,suva,-18.1416,178.4415,23.71,83,75,0.0,FJ,1690149284
192,porto novo,6.4965,2.6036,23.77,94,100,2.81,BJ,1690149131
193,port augusta,-32.5,137.7667,7.25,85,31,1.98,AU,1690149284
194,cotoca,-17.8167,-63.05,28.25,61,40,8.23,BO,1690149285
195,jerome,42.7241,-114.5186,38.02,36,0,3.09,US,1690149285
196,saudarkrokur,65.7461,-19.6394,10.16,97,100,0.53,IS,1690149285
197,nishinoomote,30.7333,131.0,27.1,84,5,4.55,JP,1690149285
198,south hedland,-20.4089,118.5983,14.96,29,0,7.2,AU,1690149286
199,gizo,-8.103,156.8419,26.82,81,99,6.33,SB,1690149286
200,zhumysker,49.3333,49.4,24.42,50,100,2.9,KZ,1690149286
201,portland,45.5234,-122.6762,32.19,36,0,2.68,US,1690148540
202,touros,-5.1989,-35.4608,24.95,78,17,7.74,BR,1690149287
203,dudinka,69.4058,86.1778,11.46,78,43,3.53,RU,1690149287
204,la passe,45.5549,-0.8967,20.55,86,100,3.74,FR,1690149287
205,trincomalee,8.5711,81.2335,27.42,76,100,9.22,LK,1690149288
206,sandakan,5.8402,118.1179,24.82,94,20,1.03,MY,1690149288
207,howrah,22.5892,88.3103,28.0,94,40,0.0,IN,1690149288
208,tsiombe,-25.3,45.4833,18.16,83,0,1.89,MG,1690149288
209,burutu,5.3509,5.5076,24.65,91,96,3.46,NG,1690149289
210,keflavik,64.0049,-22.5624,12.24,94,75,1.54,IS,1690149289
211,kushiro,42.975,144.3747,18.49,96,100,1.93,JP,1690149224
212,piripiri,-4.2733,-41.7769,31.23,32,73,1.94,BR,1690149290
213,nova sintra,14.8667,-24.7167,22.94,78,96,4.49,CV,1690149290
214,beau vallon,-20.4189,57.6953,22.13,83,40,6.17,MU,1690149279
215,nantucket,41.2835,-70.0995,28.03,74,0,3.09,US,1690149058
216,berbera,10.4396,45.0143,33.94,39,100,14.22,SO,1690149291
217,takoradi,4.8845,-1.7554,24.32,88,92,2.43,GH,1690149291
218,prado,-17.3411,-39.2208,21.84,90,41,4.26,BR,1690149292
219,camacupa,-12.0167,17.4833,15.66,34,26,1.87,AO,1690149292
220,pisco,-13.7,-76.2167,23.03,60,0,4.12,PE,1690149292
221,tazovsky,67.4667,78.7,15.02,89,99,2.66,RU,1690149293
222,bandarbeyla,9.4942,50.8122,24.59,76,100,12.93,SO,1690149293
223,axim,4.8699,-2.2405,24.82,87,99,2.28,GH,1690149293
224,ust-nera,64.5667,143.2,16.29,64,38,1.3,RU,1690149294
225,abidjan,5.3094,-4.0197,24.98,100,20,1.54,CI,1690149022
226,gebeit,21.0667,36.3167,31.57,15,59,1.83,SD,1690149294
227,outjo,-20.1167,16.15,17.71,35,4,1.03,NA,1690149294
228,mount isa,-20.7333,139.5,7.87,66,0,4.63,AU,1690149295
229,ierapetra,35.01,25.7353,31.75,42,0,0.45,GR,1690149295
230,sumenep,-7.0167,113.8667,24.48,84,8,3.7,ID,1690149295
231,gadzhiyevo,69.2551,33.3362,8.89,90,100,6.35,RU,1690149296
232,queenstown,-31.8976,26.8753,5.5,88,63,1.8,ZA,1690149296
233,kenai,60.5544,-151.2583,18.05,91,0,4.63,US,1690149297
234,sinabang,2.4803,96.3801,25.93,82,97,1.39,ID,1690149298
235,chinde,26.8418,88.0763,19.4,88,100,0.87,NP,1690149298
236,freetown,8.484,-13.2299,26.84,83,75,4.12,SL,1690149299
237,jijiga,9.35,42.8,19.13,70,100,7.92,ET,1690149299
238,mount pearl,47.5166,-52.7813,23.31,86,75,6.17,CA,1690149300
239,magdagachi,53.45,125.8,18.72,64,100,1.67,RU,1690149302
240,tabina,7.4669,123.4081,26.47,83,100,2.3,PH,1690149302
241,chibougamau,49.9168,-74.3659,25.79,29,0,2.85,CA,1690149303
242,noyabrsk,63.1994,75.4507,19.37,64,100,3.01,RU,1690149303
243,guigang,23.0964,109.6092,25.51,84,36,1.62,CN,1690149094
244,hermanus,-34.4187,19.2345,12.06,66,46,2.62,ZA,1690149171
245,oriximina,-1.7656,-55.8661,29.81,48,47,1.41,BR,1690149304
246,manokwari,-0.8667,134.0833,25.97,81,100,3.42,ID,1690149305
247,rio grande,-32.035,-52.0986,16.06,76,100,4.97,BR,1690149305
248,chahar burj,34.2448,62.1917,26.83,18,14,5.58,AF,1690149306
249,kiunga,-6.1219,141.2906,21.58,99,100,0.3,PG,1690149306
250,lebedyan',53.0194,39.1664,13.11,94,17,3.19,RU,1690149306
251,olinda,-8.0089,-34.8553,25.85,73,40,6.69,BR,1690149307
